Id,YearId,Population,Births,Deaths,Net Migration,Growth Rate (%),Life Expectancy,Total Fertility Rate,Net Reproduction Rate,Infant Mortality Rate,Mean Age of Childbearing
1,1950,7157632,156085,75917,-6394,1.03,61.49,2.52,1.03,95.97,26.73
2,1951,7228734,155645,79749,-7473,.95,60.71,2.48,1.01,97.28,26.70
3,1952,7293468,157071,88694,-7328,.84,59.59,2.47,1.00,98.48,26.54
4,1953,7362708,154719,70577,-6709,1.05,64.22,2.41,1.03,79.87,26.37
5,1954,7439598,152365,70574,-5439,1.03,64.42,2.36,1.01,85.45,26.26
6,1955,7517922,153833,69910,-3623,1.07,64.86,2.38,1.02,83.04,26.12
7,1956,7596096,150919,73111,-1777,1.00,65.25,2.34,1.02,71.75,25.91
8,1957,7672059,144381,67024,-1465,.99,66.62,2.25,.99,64.95,25.58
9,1958,7749341,141489,61529,-1279,1.02,68.74,2.23,1.00,51.55,25.43
10,1959,7820753,140029,74713,-1168,.82,66.66,2.24,1.00,54.43,25.17
11,1960,7891756,143100,64188,-1050,.99,69.20,2.31,1.05,45.58,25.09
12,1961,7969342,140813,62798,-707,.97,70.25,2.29,1.05,37.32,25.09
13,1962,8040772,136149,70051,-546,.82,69.56,2.22,1.02,36.34,25.10
14,1963,8108153,135550,66310,-33,.85,70.36,2.21,1.02,35.22,25.02
15,1964,8177721,133684,64633,867,.86,71.16,2.16,1.00,32.76,24.89
16,1965,8245072,129952,67001,1838,.79,71.33,2.08,.97,29.26,24.83
17,1966,8308899,128906,68619,2598,.76,71.24,2.03,.94,30.92,24.72
18,1967,8369836,131105,75301,3180,.71,70.44,2.03,.94,33.19,24.61
19,1968,8438288,147646,73202,3467,.92,71.23,2.27,1.06,30.50,24.66
20,1969,8512919,149167,81103,3287,.84,70.49,2.27,1.06,29.71,24.70
21,1970,8582950,144202,78240,2745,.80,71.28,2.18,1.02,26.96,24.62
22,1971,8646260,140079,84143,1975,.67,70.88,2.10,.98,24.34,24.53
23,1972,8700153,135778,85828,-73,.57,70.89,2.04,.95,25.70,24.44
24,1973,8753489,143421,83584,-3042,.65,71.33,2.15,1.01,27.09,24.41
25,1974,8810675,151917,87412,-6917,.65,71.25,2.28,1.07,25.66,24.47
26,1975,8860971,147677,92583,-12089,.49,71.04,2.23,1.05,22.11,24.41
27,1976,8902474,147453,91182,-16280,.45,71.39,2.24,1.05,22.59,24.31
28,1977,8935452,143868,97646,-20250,.29,70.80,2.21,1.04,23.63,24.18
29,1978,8958267,139313,96092,-23556,.22,71.16,2.15,1.01,21.95,24.07
30,1979,8974427,137265,98498,-26115,.14,71.25,2.14,1.01,20.09,23.96
31,1980,8980606,130383,102637,-28047,.00,71.11,2.06,.97,19.61,23.86
32,1981,8978412,125943,100577,-29449,-.05,71.51,2.01,.95,18.57,23.87
33,1982,8970485,125032,106217,-30588,-.13,71.11,2.01,.95,18.23,23.80
34,1983,8956433,123507,108661,-31183,-.18,71.27,2.01,.95,16.51,23.87
35,1984,8939490,122280,107927,-31894,-.20,71.38,2.01,.95,15.93,23.92
